ID,Entry,Action,Recommend,Rationals,Annotation,Notes,AfD Archive Link
Q401467,Ahmed_Rushdi,Nomination,none,"The article includes unsourced content, bias and dead links",Fact + Value,"Fact since you can verify if the article has or not the links, or unsourced content + Value, personal opinion about bias.",Wikipedia:Articles for deletion/Ahmed_Rushdi
Q401467,Ahmed_Rushdi,vote,Speedy keep,Speedy keep Neither of those is a reason to delete an article,Value,Personal opinion on what is bias,Wikipedia:Articles for deletion/Ahmed_Rushdi
Q401467,Ahmed_Rushdi,vote,Speedy keep,"If the article needs fixing, then fix it",Editorial Process (article),Suggest to fix the article,Wikipedia:Articles for deletion/Ahmed_Rushdi
Q401467,Ahmed_Rushdi,vote,Speedy keep,I see from the article's edit history you've had a content dispute with User:Umair Aj: deletion is not the way to fix this,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Ahmed_Rushdi
Q401467,Ahmed_Rushdi,vote,Keep,Keep - the subject is a celebrated and a renowned  Pakistani singer,Value,Personal opinion,Wikipedia:Articles for deletion/Ahmed_Rushdi
Q401467,Ahmed_Rushdi,vote,Keep,I don't see the logic behind this irrational AfD,Value,"Calling the ""AfD ilogical"" is personal judgement",Wikipedia:Articles for deletion/Ahmed_Rushdi
Q16527470,Aleksandra_Dranka,Nomination,none,The sources here don't warrant a separate article for this biography,Value,Personal opinion (warrant),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,Nomination,none,"Generally, the oldest person in a nation, absent other reasons for notability, isn't sufficient for a separate article per WP:NOPAGE",Policy,Cites WP:NOPAGE,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,Nomination,none,The relevant content here should be merged to List of Polish supercentenarians which needs cleanup itself,Editorial Process (article),Talks about the structure of the article and where it would be best placed,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Delete,"Delete Born, emigrated, worked, survived a shooting, children, died",Value,"The commenter said this subject ""born, emigrated,....."" Those are facts that we can verified. But the point here is the commenter thought the subject's experience is common, not notable and significant enough to have an article.",Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Restore redirect,Restore redirect to List of Polish supercentenarians,Editorial Process (article),Suggestion where the article would be best placed (List of Polish supercentenarians),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Restore redirect,Restore redirect to List of Polish supercentenarians seems the best way to go,Editorial Process (article),Suggestion where the article would be best placed (List of Polish supercentenarians),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Restore redirect,Restore redirect to List of Polish supercentenarians,Editorial Process (article),Suggestion where the article would be best placed (List of Polish supercentenarians),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Restore redirect,"Subject does not satisfy the general notability guidelines with significant coverage in multiple, independent, reliable sources per WP:GNG",Policy,Cites WP:GNG,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Restore redirect,"If members of WikiProject Oldest Persons insist on continuing to create stubs for objectively non-notable persons in the absence of significant coverage, on the sole basis of age or status as the ""oldest person in geographic area X, then I expect this is headed for a Wikipedia-wide RfC that will clarify and tighten the notability guidelines with respect to such claims",Other,Does not explicitly talk/state about the content of the article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Restore redirect,"There is absolutely no reason why most of these persons cannot be noted as a one- or two-sentence entry in a ""List of oldest persons in X"" article, or ""List of Xish supercentenarians"" article",Other,It is not specific to the article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Restore redirect,I also suggest that the redirect be protected to prevent re-creation of this article contrary to consensus,Editorial Process (article),Suggests how the article would be best maintained,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Keep,Keep Is the only validated supercentenarian whom has died in Poland and therefore the oldest person ever to have lived in Poland with a validated lifespan,Fact,A verifiable statement,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,Weak argument considering this information is already available in List of Polish supercentenarians,Fact,A verifiable statement (check if article is there or not),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,So a stand-alone article isn't needed,Other,"Not a direct comment on subject, there is no rationale",Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,Then why not just do so for every single article about anything? If all articles can be redirected somewhere else then there isn't really any need for Wikipedia to be an encyclopedia,Editorial Process (article),Suggestion on how to improve the quality of articles,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"And as for Aleksandra Dranka, a redirect doesn't give the biographical details of the person's life",Other,"Does not oppose the redirect specifically, just talks about how the redirect works. This has nothing to do with the article itself",Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"Longevity records are more than just records; the recordholders are also symbols, and their life stories are notable in the same way that the last WWI veterans life stories are notable",Value,Personal opinion in how longevity gives notability,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"No one is saying that we need an article on every supercentenarian, but surely a type article on Poland's recordholder would be appropriate",Value,"Opinion, appropiate is different for different people",Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Keep,"Keep, there was already a nomination for deletion not so long ago on this same article",Fact,Check if there was a nomination is verifiable,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Keep,I see no need for another voting at this time,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"Yes I was born, I emigrated, I work, I was almost shot, I dont have any children and I am not dead yet",Other,Experiences that have nothing to do with the article nor argue in any way,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"Hard to believe she received ""considerate media interest"" when four of the five sources next to those words lead to the same website",Fact,Verifiable statement (check where sources lead),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,I don't believe wishes from the president establish notability either since the source states every Polish resident over the age of 100 gets one,Value,Personal opinion on what makes notability,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"Lastly, there is nothing in the WP:GNG guidelines that state ""having your age verified by the GRG makes you notable""",Policy,References a Wikipedia policy to the subject,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,This is the first time this article has been nominated,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,There's currently 11 sources cited on this article,Fact,Verifiable statement (check amount of sources),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"How does that not amount to significant coverage? Given that such coverage quite often exists for people like this, then there's absolutely no reason NOT to create a standalone article",Value,Personal opinion on the importance and notability of article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,Not everyone holds the same opinion as you,Other,Unrelated to the content of the article (it states a value that has no relation),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Keep or Merge,Keep or Merge with List of Polish supercentenarians,Editorial Process (article),Suggestion where the article would be best placed (List of Polish supercentenarians),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Keep or Merge,Sources in the article indicate she meets WP:GNG,Policy,References a Wikipedia policy to the subject,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Keep or Merge,"If not kept as a standalone, a small biography could be created on the Polish supercentenarians page",Editorial Process (article),Suggestion where the article would be best placed (Polish supercentenarians page),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"Help me, Ollie -- what part of any of this trivia is worthy of inclusion in a serious encyclopedia?  Even the two longer articles are filled with these common details of her life.",Value,"Personal opinion of what is common, trivia, and not notable",Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,There is no noteworthy substance -- she led a completely un-noteworthy life,Value,Personal opinion of subject,Wikipedia:Articles for deletion/Aleksandra_Dranka
